Dates,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
2002-07-31,ARR IN Equity,ELSC IN Equity,NACL IN Equity,SLI IN Equity,MAST IN Equity,BYRCS IN Equity,ONGC IN Equity,HPCL IN Equity,MIRC IN Equity,TMX IN Equity,IPCL IN Equity,BHFC IN Equity,KMB IN Equity,PJC IN Equity,BLJT IN Equity,CIS IN Equity,EIM IN Equity,IRS IN Equity,BHE IN Equity,JKBK IN Equity
2002-08-30,BSOFT IN Equity,SUBX IN Equity,BLSI IN Equity,MPHL IN Equity,GCPL IN Equity,BYRCS IN Equity,ALSF IN Equity,CYL IN Equity,ACCELYA IN Equity,ORIT IN Equity,CMC IN Equity,ZENT IN Equity,TPS IN Equity,SHY IN Equity,APTY IN Equity,AFTK IN Equity,AGG IN Equity,MAST IN Equity,GEO IN Equity,LML IN Equity
2002-09-30,ARR IN Equity,GRWRHITE IN Equity,ALSF IN Equity,ORIT IN Equity,GENE IN Equity,BSOFT IN Equity,TRENT IN Equity,NXTD IN Equity,IRS IN Equity,APTY IN Equity,CGPOWER IN Equity,NINV IN Equity,GMDC IN Equity,POL IN Equity.1,POL IN Equity,EIM IN Equity,MIRC IN Equity,MPHL IN Equity,LML IN Equity,BRPL IN Equity
2002-10-31,BEML IN Equity,HMT IN Equity,HPCL IN Equity,JSTL IN Equity,GEO IN Equity,BHE IN Equity,MPHL IN Equity,CYL IN Equity,NLC IN Equity,APTY IN Equity,RCF IN Equity,SUBX IN Equity,KS IN Equity,HOC IN Equity,RALI IN Equity,SUNF IN Equity,ONGC IN Equity,EMCO IN Equity,NINV IN Equity,SLT IN Equity
2002-11-29,63MOONS IN Equity,SQD IN Equity,PRTN IN Equity,SLVR IN Equity,PFSW IN Equity,LES IN Equity,MIT IN Equity,SLT IN Equity,TTAN IN Equity,NIIT IN Equity,HM IN Equity,ATCO IN Equity,SUNF IN Equity,UTTM IN Equity,ALSF IN Equity,ONT IN Equity,PVPV IN Equity,BLSI IN Equity,CRSA IN Equity,KS IN Equity
2002-12-31,SLT IN Equity,KOBO IN Equity,ALBC IN Equity,NFL IN Equity,BOB IN Equity,HDPH IN Equity,ORIT IN Equity,ENGR IN Equity,ANDB IN Equity,PJC IN Equity,IPCA IN Equity,HOC IN Equity,BEML IN Equity,SUBX IN Equity,BOI IN Equity,SAIL IN Equity,CMC IN Equity,FB IN Equity,NCS IN Equity,JKBK IN Equity
2003-01-31,TLDI IN Equity,HDPH IN Equity,MBI IN Equity,ANDB IN Equity,JKBK IN Equity,SLT IN Equity,JSWISPL IN Equity,IOB IN Equity,NINV IN Equity,IPCL IN Equity,BHFC IN Equity,VJYBK IN Equity,ABAN IN Equity,UCAL IN Equity,IPCA IN Equity,BFUT IN Equity,UTTM IN Equity,GCPL IN Equity,JSP IN Equity,MHS IN Equity
2003-02-28,PJC IN Equity,TLDI IN Equity,HDPH IN Equity,BFUT IN Equity,IGLY IN Equity,BPCL IN Equity,GRWRHITE IN Equity,KOBO IN Equity,NELCO IN Equity,BHFC IN Equity,BSOFT IN Equity,GCPL IN Equity,GIP IN Equity,MAXF IN Equity,VEDL IN Equity,HPCL IN Equity,COSMOFIRIN Equity,ELSC IN Equity,MAST IN Equity,EMCO IN Equity
2003-03-31,PNB IN Equity,BOB IN Equity,APTY IN Equity,VJYBK IN Equity,ANDB IN Equity,IOB IN Equity,NINV IN Equity,CLRC IN Equity,HPCL IN Equity,CEAT IN Equity,MHS IN Equity,IGLY IN Equity,IPCL IN Equity,BHFC IN Equity,MPHL IN Equity,IPCA IN Equity,SCI IN Equity,MPS IN Equity,ZSS IN Equity,SANL IN Equity
2003-04-30,RCF IN Equity,PRTN IN Equity,HMFC IN Equity,CRSA IN Equity,TLDI IN Equity,COSMOFIRIN Equity,OBC IN Equity,HDPH IN Equity,SCI IN Equity,AFTK IN Equity,JKBK IN Equity,NIIT IN Equity,HOC IN Equity,SNDB IN Equity,RMW IN Equity,BEML IN Equity,Z IN Equity,SABTN IN Equity,GIP IN Equity,IOB IN Equity
